x,y,z,yaw,gear
10.979459,-3.698925,-0.001348,-3.017458,1.000000
10.802392,-3.721020,-0.002102,-3.017466,1.000000
10.625322,-3.743115,-0.002329,-3.017468,1.000000
10.448243,-3.765210,-0.001051,-3.017474,1.000000
10.271168,-3.787304,-0.001887,-3.017483,1.000000
10.094091,-3.809397,-0.002110,-3.017494,1.000000
9.917029,-3.831485,-0.000959,-3.017498,1.000000
9.739952,-3.853575,-0.001706,-3.017510,1.000000
9.562869,-3.875664,-0.001947,-3.017513,1.000000
9.385797,-3.897749,-0.001789,-3.017518,1.000000
9.208727,-3.919835,-0.001983,-3.017527,1.000000
9.031648,-3.941920,-0.002709,-3.017536,1.000000
8.854569,-3.964003,-0.001968,-3.017542,1.000000
8.677512,-3.986081,-0.001802,-3.017545,1.000000
8.500443,-4.008162,-0.001856,-3.017554,1.000000
8.323374,-4.030241,-0.002578,-3.017559,1.000000
8.146314,-4.052317,-0.002075,-3.017562,1.000000
8.000141,-4.079335,-0.003208,-3.018438,1.000000
